IMU_No   AccX,AccY,AccZ,GyroX,GyroY,GyroZ
IMU 2   -20452,1064,-2472,1359,-326,-183
IMU 3   -24336,-7284,156,2074,-2911,-3628
IMU 1   4532,32767,-15988,-484,629,559
IMU 2   -17484,-2632,4472,2675,-1019,3541
        -17348,-17352,-2800,788,-2917,-
IMU 3   5199
IMU 1   5776,13592,-396,419,-426,-228
IMU 2   -15256,2236,2040,963,-283,3592
IMU 3   -7520,3332,-640,-1548,1902,3603
IMU 1   2224,16588,-6976,-77,3,-46
IMU 2   -12476,-212,1148,410,178,2520
IMU 3   -18084,-6560,-548,-967,4925,6894
IMU 1   2896,11988,-3508,-269,265,68
IMU 2   -10888,3176,596,-770,354,-374
IMU 3   -29668,-10084,3900,512,5696,6601
IMU 1   3960,19628,-9504,-726,187,-289
IMU 2   -12536,15696,6580,-1000,809,582
IMU 3   -14936,-19020,16328,-667,-214,-670
IMU 1   3044,8612,-8848,257,-353,223
IMU 2   -12896,7984,3372,-2582,1375,2460
        -18428,-5884,-2156,-2582,-2084,-
IMU 3   4242
IMU 1   1872,5520,-1876,241,-206,422
IMU 2   -14632,-560,-480,-1734,136,-1442
IMU 3   -15000,-3976,-1096,-847,-913,-1746
IMU 1   3084,14708,-11112,103,-52,-107
IMU 2   -15184,2028,-328,-285,119,-2373
IMU 3   -14980,-5152,-868,443,-195,-720
IMU 1   3724,13324,-6496,797,-93,871
IMU 2   -14584,1780,448,-1791,392,-2101
IMU 3   -15412,-5012,24,718,-174,-568
IMU 1   -2644,2504,188,-1063,-542,-898
IMU 2   -15760,2088,-1280,-415,269,-1930
IMU 3   -17108,-6076,-1236,982,-1062,-1300
IMU 1   -916,7428,-5380,-198,-325,-124
IMU 2   -18084,-2044,28,393,-162,-1146
IMU 3   -19164,-7744,2156,1002,-2426,-2749
IMU 1   3472,20624,-5780,-489,-533,-99
IMU 2   -15300,704,1080,1080,-1279,2166
IMU 3   -25152,-920,-4712,2128,-2639,-4120
IMU 1   -1152,9344,-1828,147,-160,-114
IMU 2   -17072,-1028,3200,2721,-971,3489
IMU 3   -11580,-364,2104,3361,452,-1319
IMU 1   1480,9704,-480,653,-137,423
IMU 2   -15252,164,764,-216,437,4164
IMU 3   -3280,144,-496,-2109,3126,5820
IMU 1   6124,19112,-6308,-589,173,-143
IMU 2   -11796,260,2028,224,485,1570
IMU 3   -20032,-9536,-1676,-2131,4889,7015
IMU 1   4292,19012,-7824,133,95,525
IMU 2   -10612,6328,440,-625,323,-1664
IMU 3   -24368,-17328,7584,2903,5541,5082
IMU 1   6108,27644,-3032,799,-311,821
IMU 2   -14184,11288,1212,765,1353,206
        -13580,32767,-196,-3833,-1975,-
IMU 3   1616
IMU 1   5280,17188,-6684,-7,222,358
IMU 2   -11888,-18784,-3496,1265,581,-1999
        -13468,-11128,-6900,331,-2423,-
IMU 3   3225
IMU 1   7752,18788,-4728,430,-160,324
IMU 2   -15576,-2172,-2160,-1205,243,-1489
IMU 3   -14600,-7264,-3644,568,-1107,-1485
IMU 1   2556,14660,-6128,-823,285,-229
IMU 2   -15568,2888,-684,-500,92,-2024
IMU 3   -15272,-5268,-292,713,-244,-416
IMU 1   2092,20000,-1296,-180,-745,-286
IMU 2   -14856,984,36,-1159,146,-1866
IMU 3   -15940,-5316,48,417,-117,-485
IMU 1   5912,17916,-8032,-19,516,219
IMU 2   -15552,596,-1032,-510,246,-1666
IMU 3   -16652,-6324,-976,544,-1179,-1151
IMU 1   5520,11828,-12480,656,596,223
IMU 2   -18864,1028,-444,906,-145,-997
IMU 3   -19840,-7276,2732,1340,-1840,-2529
IMU 1   6548,12244,-5840,-256,121,173
IMU 2   -14928,480,2568,2686,-1872,1847
IMU 3   -21424,1272,-476,2531,-2675,-4232
IMU 1   7392,15880,-6744,281,831,560
IMU 2   -18620,540,2188,2456,-733,3070
IMU 3   -9732,4840,-1908,3615,764,-304
IMU 1   5396,10752,-9420,-588,395,66
IMU 2   -14140,1096,864,-179,197,3333
IMU 3   -4620,-1424,-2396,-2837,3621,5348
IMU 1   404,6140,-10756,-519,144,-194
IMU 2   -11632,12,2028,242,211,891
IMU 3   -21040,-9444,-728,-826,5151,6417
IMU 1   1212,19264,-10152,-295,543,228
IMU 2   -12544,6536,888,-587,772,-1516
IMU 3   -23604,-12224,3524,1409,5198,5068
IMU 1   3232,14552,-5300,195,-232,262
IMU 2   -11308,9072,2404,320,525,752
        -15852,-9324,12524,-2440,-2634,-
IMU 3   2875
IMU 1   -1712,13728,-10824,-437,143,-197
IMU 2   -16360,9096,2912,-2156,435,2100
        -18576,-8876,-2724,-1595,-1517,-
IMU 3   3423
IMU 1   388,6408,-7100,649,-139,-63
IMU 2   -18276,3400,840,-3423,779,791
IMU 3   -15632,-4552,700,-45,-1715,-1752
IMU 1   1544,12452,-2172,423,304,76
IMU 2   -15556,1324,-416,-229,102,-1128
IMU 3   -15436,-4468,-100,492,-381,-259
IMU 1   2884,15808,-6600,-26,291,29
IMU 2   -14328,6052,284,-956,358,-950
IMU 3   -15620,-4420,-52,264,-194,-5
IMU 1   3280,9860,-4348,-388,-54,-273
IMU 2   -15008,1364,-1396,-223,217,-1450
IMU 3   -16112,-5028,-1788,495,-53,5
IMU 1   3760,13608,-7976,-156,36,-61
IMU 2   -14892,284,984,-284,15,-1309
IMU 3   -15580,-3880,720,78,267,395
IMU 1   4752,15420,-9004,38,224,64
IMU 2   -16544,-44,-380,680,-117,-938
IMU 3   -16584,-3844,-664,361,203,143
IMU 1   4316,16276,-7056,-264,-84,-95
IMU 2   -15532,-324,460,-367,18,60
IMU 3   -15872,-3636,-72,129,-288,-155
IMU 1   2576,16340,-8072,89,-63,95
IMU 2   -16284,-1524,4,89,-44,-48
IMU 3   -15680,-4096,320,242,-188,-29
IMU 1   3752,15168,-8628,-306,81,68
IMU 2   -16064,-1220,68,208,-59,-86
IMU 3   -15932,-4104,232,250,-83,33
IMU 1   3784,15060,-8152,-88,-2,37
IMU 2   -15724,-548,428,18,11,62
IMU 3   -15660,-3908,384,174,-79,12
IMU 1   3472,14848,-7596,-245,-2,48
IMU 2   -15904,-508,448,134,-217,150
IMU 3   -15844,-3832,336,201,-79,-6
IMU 1   2804,15412,-8044,-270,21,-15
IMU 2   -15272,-148,544,-139,-121,329
IMU 3   -15592,-3924,608,324,-177,-54
IMU 1   3068,14980,-7724,-154,-2,30
IMU 2   -15528,220,864,-116,-43,160
IMU 3   -15748,-3840,708,258,-54,30
IMU 1   3068,14892,-7708,-114,10,88
IMU 2   -15400,84,1316,-192,-12,65
IMU 3   -15752,-3940,568,123,44,41
IMU 1   3180,14876,-7592,-111,8,108
IMU 2   -15612,208,916,-158,54,64
IMU 3   -15732,-4088,696,121,43,18
IMU 1   3220,15012,-7676,-130,17,80
IMU 2   -15748,-12,752,-111,30,-26
IMU 3   -15812,-3916,632,136,48,38
IMU 1   2928,14952,-7224,-179,19,149
IMU 2   -15632,20,828,-115,42,-22
IMU 3   -15812,-3932,472,110,73,23
IMU 1   3168,15116,-7640,-127,11,75
IMU 2   -15508,8,784,-77,17,7
IMU 3   -15748,-4060,444,109,8,-18
IMU 1   3136,15028,-7520,-118,-11,77
IMU 2   -15524,168,776,-128,59,59
IMU 3   -15812,-3952,392,127,-31,-34
IMU 1   3140,14988,-7620,-135,2,65
IMU 2   -15584,-172,704,-214,73,26
IMU 3   -15768,-3960,348,177,-13,-54
IMU 1   3144,14988,-7564,-121,3,77
IMU 2   -15848,-116,496,-194,23,58
IMU 3   -15840,-3872,472,95,-42,-41
IMU 1   3328,14952,-7564,-128,7,82
IMU 2   -15536,-252,672,-146,33,14
IMU 3   -15620,-4132,484,124,-28,-13
IMU 1   3232,14980,-7536,-145,12,93
IMU 2   -15552,-284,868,-181,29,65
IMU 3   -15708,-4048,476,128,-19,-3
IMU 1   3308,15008,-7448,-102,-1,78
IMU 2   -15524,-116,884,-156,35,22
IMU 3   -15696,-4120,632,131,5,25
IMU 1   3164,14960,-7556,-110,2,93
IMU 2   -15688,-208,748,-187,28,86
IMU 3   -15716,-4100,440,140,-4,18
IMU 1   3132,15012,-7412,-124,12,90
IMU 2   -15540,-48,672,-58,31,64
IMU 3   -15676,-4136,504,165,-14,22
IMU 1   3212,14976,-7372,-124,4,86
IMU 2   -15500,-172,764,-173,-1,32
IMU 3   -15788,-4104,464,178,1,57
IMU 1   3024,15036,-7528,-130,-2,86
IMU 2   -15452,48,648,-149,-9,28
IMU 3   -15728,-4024,604,173,-4,54
IMU 1   3176,14916,-7696,-122,7,91
IMU 2   -15512,100,820,-65,45,30
IMU 3   -15808,-4036,360,153,-8,8
IMU 1   3252,15012,-7636,-128,1,80
IMU 2   -15900,-68,564,-189,29,70
IMU 3   -15808,-3880,372,146,-30,-4
IMU 1   3168,14912,-7552,-121,0,79
IMU 2   -15564,-172,1028,-148,-4,50
IMU 3   -15744,-3992,484,157,-20,-6
IMU 1   3140,14916,-7520,-149,-4,82
IMU 2   -15656,-380,704,-111,9,27
IMU 3   -15696,-4040,588,146,8,21
IMU 1   3152,15064,-7496,-92,-7,87
IMU 2   -15460,-108,696,-89,3,-9
IMU 3   -15804,-3992,392,151,41,38
IMU 1   3124,14912,-7340,-83,-1,82
IMU 2   -15452,-184,884,56,46,17
IMU 3   -15664,-3896,420,161,22,19
IMU 1   2988,15048,-7324,-233,0,89
IMU 2   -15560,64,752,32,-4,-5
IMU 3   -15700,-3872,416,156,22,33
IMU 1   3208,15068,-7512,-124,-15,57
IMU 2   -15732,8,652,0,50,43
IMU 3   -15832,-3936,384,146,-6,-11
IMU 1   3172,14848,-7456,-108,2,98
IMU 2   -15692,-380,672,-28,42,74
IMU 3   -15796,-3884,388,164,-12,-22
IMU 1   3088,15016,-7404,-122,10,92
IMU 2   -15536,20,764,-15,64,5
IMU 3   -15792,-3864,380,167,7,34
IMU 1   3260,15032,-7364,-113,7,84
IMU 2   -15596,76,832,-51,53,47
IMU 3   -15840,-3804,324,149,5,-1
IMU 1   3228,14984,-7536,-124,3,82
IMU 2   -15612,28,752,-56,35,20
IMU 3   -15792,-3976,388,138,4,7
IMU 1   3212,15132,-7356,-157,-5,79
IMU 2   -15592,-60,660,-168,40,47
IMU 3   -15764,-4000,304,126,2,6
IMU 1   3252,15000,-7536,-146,5,80
IMU 2   -15564,80,764,-166,75,67
IMU 3   -15784,-3908,240,121,-2,-3
IMU 1   3136,15044,-7504,-121,8,90
IMU 2   -15632,184,752,-113,74,3
IMU 3   -15780,-3804,340,124,14,2
IMU 1   3128,15088,-7544,-121,17,84
IMU 2   -15620,100,644,-63,109,61
IMU 3   -15732,-3972,200,108,-27,-29
IMU 1   3032,15332,-7020,-106,-17,96
IMU 2   -15628,8,672,-171,54,123
IMU 3   -15712,-3976,216,118,-46,-75
IMU 1   3308,14892,-7684,6,-51,-28
IMU 2   -15600,116,676,-198,48,91
IMU 3   -15676,-4128,396,158,-47,-48
IMU 1   3200,15132,-7684,-201,42,138
IMU 2   -15476,120,420,-168,88,41
IMU 3   -15652,-4072,320,142,-7,-16
IMU 1   3148,14920,-7708,44,4,124
IMU 2   -15788,-216,644,-233,7,52
IMU 3   -15720,-4124,328,143,3,5
IMU 1   3152,14896,-7388,-122,16,107
IMU 2   -15540,64,600,-177,5,34
IMU 3   -15780,-3920,364,133,-3,36
IMU 1   3096,15020,-7736,-166,11,96
IMU 2   -15872,28,624,-126,30,50
IMU 3   -15892,-4012,336,139,9,18
IMU 1   3084,15020,-7520,-152,6,50
IMU 2   -15620,104,584,-43,-4,13
IMU 3   -15772,-3888,268,151,14,24
IMU 1   3392,14940,-7584,-93,-2,101
IMU 2   -15680,80,576,-34,12,9
IMU 3   -15792,-4008,240,167,1,21
IMU 1   3092,15120,-7552,-147,21,107
IMU 2   -15768,76,492,-30,-3,11
IMU 3   -15796,-4012,284,151,-20,6
IMU 1   3288,15088,-7564,-86,14,108
IMU 2   -15592,-64,700,-81,31,27
IMU 3   -15756,-3936,292,151,-33,2
IMU 1   3224,15332,-7800,-252,29,135
IMU 2   -15704,-60,568,42,-53,10
IMU 3   -15848,-3968,260,125,-54,-46
IMU 1   3160,15208,-7716,-154,-3,61
IMU 2   -15592,36,836,-97,-4,42
IMU 3   -15764,-3972,356,128,-52,-34
IMU 1   3332,15072,-7500,-186,6,60
IMU 2   -15644,-128,864,-32,-17,-37
IMU 3   -15724,-4092,484,142,-2,20
IMU 1   3168,15080,-7580,-131,8,88
IMU 2   -15564,340,656,-87,51,-43
IMU 3   -15760,-4072,336,135,15,22
IMU 1   3196,14944,-7532,-75,2,110
IMU 2   -15768,56,844,-170,33,30
IMU 3   -15808,-3972,364,145,-19,-12
IMU 1   3224,15056,-7408,-51,4,107
IMU 2   -15644,-72,752,-269,95,21
IMU 3   -15732,-4028,520,134,-22,-35
IMU 1   3148,15040,-7464,-111,12,114
IMU 2   -15744,-296,816,-288,65,9
IMU 3   -15780,-4072,248,125,-1,-31
IMU 1   3408,14980,-7504,-89,10,81
IMU 2   -15724,-416,676,-239,65,101
IMU 3   -15640,-4152,328,96,-11,-54
IMU 1   3440,15076,-7668,-85,6,138
IMU 2   -15628,108,492,-231,91,9
IMU 3   -15632,-4236,484,78,49,-4
IMU 1   2916,15060,-7512,-28,14,116
IMU 2   -15936,-116,412,-473,57,31
IMU 3   -15844,-4160,344,48,57,-1
IMU 1   3136,14972,-7400,-261,17,93
IMU 2   -15680,-4,104,-309,66,-7
IMU 3   -15672,-4200,200,140,47,-20
IMU 1   3192,15148,-8004,81,3,131
IMU 2   -15660,-504,436,-158,67,41
IMU 3   -15612,-4348,276,122,-48,-48
IMU 1   3220,15320,-7620,157,18,184
IMU 2   -15584,-384,496,19,63,-6
IMU 3   -15664,-4240,328,145,-11,-31
IMU 1   3164,15060,-7232,-36,-8,111
IMU 2   -15724,-424,388,-154,69,36
IMU 3   -15664,-4240,252,123,-10,-19
IMU 1   3252,15188,-7392,-429,24,79
IMU 2   -15836,-564,472,-252,42,21
