Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Phase
14.77,-0.07,0.08,0,-13.7,-11.27,45.37,Foot Liftoff
14.81,-0.1,0.01,-0.03,-14.74,-7.4,53.9,Foot Liftoff
14.85,-0.19,-0.03,-0.1,-18.16,-10.91,74.91,Foot Liftoff
14.9,-0.32,-0.01,-0.11,-12.34,-16.22,87.07,Heel Landing
14.94,-0.5,-0.04,-0.13,-3.78,-12.68,82.42,Heel Landing
14.99,-0.56,-0.27,-0.15,-3.47,-7.26,78.7,Heel Landing
15.03,-0.36,-0.48,-0.19,-6.88,-4.99,68.65,Heel Landing
15.08,-0.15,-0.48,-0.11,0.21,2.33,7.52,Foot Landing
15.12,0.29,-0.01,0.01,-20.75,14.35,-37.66,Foot Landing
15.16,-0.28,-0.31,-0.07,-12.52,13.31,-51.76,Foot Landing
15.21,-0.23,0.01,-0.2,16.32,20.95,-28.12,Foot Landing
15.25,-0.25,-0.15,-0.08,6.28,-0.53,-21.65,Foot Landing
15.29,-0.23,-0.01,-0.07,5.04,6.82,-13.21,Foot Landing
15.34,-0.22,-0.05,-0.1,2.91,6.24,-10.93,Foot Landing
15.38,-0.23,-0.04,-0.13,6.06,4.96,-5.74,Foot Landing
15.42,-0.23,-0.04,-0.14,6.21,2.05,-5.68,Foot Landing
15.46,-0.23,-0.05,-0.12,7.45,0.24,-4.91,Foot Landing
15.5,-0.24,-0.03,-0.1,8.07,-0.1,-3.16,Foot Landing
15.55,-0.24,-0.05,-0.13,4.69,-0.34,-7.28,Heel Liftoff
15.59,-0.24,-0.05,-0.11,7.08,0.91,-8.09,Heel Liftoff
15.63,-0.24,-0.05,-0.1,5.2,2.88,-11.08,Heel Liftoff
15.67,-0.27,-0.03,-0.13,4.23,3.19,-16.94,Heel Liftoff
15.72,-0.3,-0.04,-0.11,5.59,5.11,-26.88,Foot Liftoff
15.76,-0.36,-0.03,-0.12,11.73,5.77,-36.65,Foot Liftoff
15.8,-0.39,0.05,-0.04,18.96,-4.57,-58.53,Foot Liftoff
15.85,-0.46,-0.05,-0.19,4.62,17.61,-86.44,Foot Liftoff
15.89,-0.43,0.08,-0.16,13.08,14.85,-65.03,Foot Liftoff
15.93,-0.05,-0.29,-0.19,65.67,-0.62,-59.16,Foot Liftoff
15.98,-0.05,0.04,-0.12,32.84,15.09,24.07,Foot Liftoff
16.02,-0.07,0.1,0,0.07,-1.2,47.09,Foot Liftoff
16.06,-0.09,0.04,0.03,-11.65,-0.46,60.13,Foot Liftoff
16.1,-0.17,0.03,-0.05,-22.94,-3.59,76.2,Foot Liftoff
16.15,-0.26,-0.02,-0.07,-19.61,-14.28,89.4,Heel Landing
16.2,-0.42,-0.01,-0.06,-6.35,-17.81,97.26,Heel Landing
16.24,-0.67,-0.23,-0.16,-13.04,-17.59,94.94,Heel Landing
16.29,-0.4,-0.53,-0.2,-11.71,-4.26,77.58,Heel Landing
16.33,-0.16,-0.53,-0.23,-1.89,5.47,-1.57,Foot Landing
16.37,-0.22,0.51,0.03,7.65,9.86,-46.13,Foot Landing
16.41,-0.44,-0.26,-0.1,-7.51,19.55,-47.8,Foot Landing
16.46,-0.22,0.04,-0.24,12.29,19.51,-29.93,Foot Landing
16.5,-0.19,0.09,-0.02,3.43,8.72,-17.54,Foot Landing
16.54,-0.22,-0.02,-0.12,8.25,5.84,-15.23,Foot Landing
16.59,-0.24,-0.02,-0.11,3.64,4.8,-11.56,Foot Landing
16.63,-0.23,-0.04,-0.11,7.07,3.62,-7.76,Foot Landing
16.67,-0.23,-0.04,-0.11,6.49,1.8,-5.75,Foot Landing
16.71,-0.24,-0.04,-0.11,5.84,-0.17,-6.47,Foot Landing
16.75,-0.22,-0.06,-0.15,7.64,2.16,-6.71,Foot Landing
16.8,-0.24,-0.05,-0.11,2.65,-0.82,-9.56,Heel Liftoff
16.84,-0.28,-0.04,-0.09,5.78,1.86,-10.91,Heel Liftoff
16.88,-0.25,-0.05,-0.09,4.81,3.42,-14.07,Heel Liftoff
16.92,-0.29,-0.03,-0.11,6.59,4.31,-22.25,Heel Liftoff
16.97,-0.34,-0.02,-0.13,7.94,5.13,-34,Foot Liftoff
17.01,-0.41,0.06,-0.16,18.44,1.08,-52.45,Foot Liftoff
17.05,-0.43,0.11,-0.04,23.17,-13.48,-78.28,Foot Liftoff
17.1,-0.53,-0.24,-0.29,14.75,19.03,-75.29,Foot Liftoff
17.14,-0.17,-0.03,-0.01,40.98,-5.34,-62.22,Foot Liftoff
17.19,0.01,-0.13,-0.11,33.38,16.14,4.95,Foot Liftoff
17.23,-0.08,0.11,-0.04,-3.9,7.74,43.6,Foot Liftoff
17.27,-0.08,0.07,0.03,-13.02,0.54,56.81,Foot Liftoff
17.31,-0.13,0.03,-0.04,-16.32,0.38,69.08,Foot Liftoff
17.35,-0.22,0.01,-0.07,-15.9,-7.53,86.56,Foot Liftoff
17.4,-0.34,-0.01,-0.07,-10.22,-11.38,100.62,Heel Landing
17.44,-0.63,-0.06,-0.1,-30.23,-11.78,140.28,Heel Landing
17.49,-0.56,-0.5,-0.24,-39.16,1.54,70.91,Heel Landing
17.53,-0.38,-0.45,-0.23,0.67,4.03,25.8,Foot Landing
17.58,-0.02,0.11,-0.11,12.04,10.29,-55.64,Foot Landing
17.62,-0.35,0,-0.12,6.49,14.41,-45.33,Foot Landing
17.66,-0.19,0.05,-0.18,6.56,12.75,-32.34,Foot Landing
17.7,-0.26,-0.02,-0.09,4.68,10.5,-17.37,Foot Landing
17.75,-0.24,0.06,-0.1,3.87,6.95,-13.49,Foot Landing
17.79,-0.24,0.02,-0.12,6.73,4.38,-10.08,Foot Landing
17.83,-0.23,0.03,-0.12,7.85,1.19,-7.23,Foot Landing
17.87,-0.24,0.03,-0.11,6.29,-1.75,-6.74,Foot Landing
17.91,-0.24,0.03,-0.11,5.84,-2.12,-6.87,Foot Landing
17.96,-0.25,0.02,-0.11,5.36,-1.01,-7.93,Foot Landing
18,-0.25,0.03,-0.09,6.69,0.23,-10.13,Foot Landing
18.04,-0.24,0.02,-0.11,6.27,1.25,-12,Heel Liftoff
18.08,-0.25,0.03,-0.12,6.54,0.52,-14.58,Heel Liftoff
18.12,-0.28,0.04,-0.1,7.87,0.6,-21.55,Heel Liftoff
18.16,-0.31,0.04,-0.12,10.97,2.59,-31.29,Foot Liftoff
18.21,-0.36,0.11,-0.17,16,-4.46,-43.61,Foot Liftoff
18.25,-0.41,0.14,-0.11,24.77,-15.58,-65.54,Foot Liftoff
18.29,-0.64,-0.22,-0.28,20.53,11.71,-77.65,Foot Liftoff
18.34,-0.06,0.23,-0.06,37.27,8.45,-57.32,Foot Liftoff
18.38,-0.13,-0.24,-0.08,37.22,4.56,-15.15,Foot Liftoff
18.43,-0.08,0.13,-0.07,-14.18,12.42,38.75,Foot Liftoff
18.47,-0.05,0.11,0.06,-17.91,4.24,49.49,Foot Liftoff
18.51,-0.12,0.03,-0.04,-17.38,4.68,61.64,Foot Liftoff
18.55,-0.2,0.06,-0.05,-21.15,-4.79,82.19,Foot Liftoff
18.6,-0.32,0.09,-0.07,-17.64,-9.49,90.64,Heel Landing
18.64,-0.52,0.15,-0.12,-21.93,-11.64,91.8,Heel Landing
18.69,-0.49,-0.21,-0.29,-15.39,-0.84,76.79,Heel Landing
18.73,-0.49,-0.41,-0.29,-4.03,1.82,63.71,Heel Landing
18.77,-0.31,-0.28,-0.17,0.15,1.47,-11.09,Foot Landing
18.82,-0.49,0.68,0.17,-6.95,14.61,-48.25,Foot Landing
18.86,-0.43,-0.13,-0.15,-20.48,23.73,-47.76,Foot Landing
18.9,-0.19,0.15,-0.24,13.61,17.22,-29.16,Foot Landing
18.95,-0.18,0.09,-0.09,9.41,9.41,-17.92,Foot Landing
18.99,-0.25,0.08,-0.13,5.2,8.89,-14.22,Foot Landing
19.03,-0.22,0.04,-0.13,7.44,3.54,-10.13,Foot Landing
19.07,-0.24,0.04,-0.13,9.07,2.79,-6.52,Foot Landing
19.11,-0.23,0.04,-0.11,8.83,0,-5.27,Foot Landing
19.15,-0.23,0.04,-0.11,5.8,-0.21,-5.58,Foot Landing
19.2,-0.25,0.07,-0.1,2.2,-1.22,-6.06,Foot Landing
19.24,-0.23,0.03,-0.11,4.08,-0.33,-7.42,Foot Landing
19.28,-0.24,0.02,-0.12,4.55,0.37,-8.94,Heel Liftoff
19.32,-0.25,0.05,-0.09,6.26,0.93,-11.31,Heel Liftoff
19.36,-0.28,0.06,-0.11,6.1,2.79,-17.75,Heel Liftoff
19.4,-0.3,0.05,-0.11,9.25,5.05,-27.37,Foot Liftoff
19.44,-0.34,0.08,-0.15,16.18,2.34,-36.62,Foot Liftoff
19.49,-0.36,0.18,-0.04,22.33,-11.78,-54.31,Foot Liftoff
19.53,-0.46,0.1,-0.18,19.45,16.52,-81.97,Foot Liftoff
19.58,-0.34,0.22,-0.16,23.38,13.42,-60.36,Foot Liftoff
19.62,-0.14,-0.25,-0.15,45,-17.85,-52.74,Foot Liftoff
19.67,-0.04,0.06,-0.11,31.49,8.61,29.94,Foot Liftoff
19.71,-0.01,0.17,0.01,6.42,-2.39,47.58,Foot Liftoff
19.75,-0.08,0.07,0.05,-2.81,3.31,51.91,Foot Liftoff
19.79,-0.15,0.05,-0.07,-16.61,7.41,70.36,Foot Liftoff
19.83,-0.23,0.07,-0.07,-25.52,-0.2,87.43,Foot Liftoff
19.87,-0.39,0.12,-0.08,-18.82,-8.25,94.65,Heel Landing
19.92,-0.68,-0.03,-0.21,-17.63,-10,92.26,Heel Landing
19.96,-0.57,-0.32,-0.22,-5.98,-4.2,74.51,Foot Landing
20.01,-0.32,-0.5,-0.15,7.79,3.06,7.1,Foot Landing
20.05,0.12,0.19,-0.08,-7.84,15.12,-37.47,Foot Landing
20.09,-0.32,-0.13,-0.01,-12.49,20.72,-59.46,Foot Landing
20.14,-0.23,0.06,-0.12,18.49,10.06,-32.91,Foot Landing
20.18,-0.26,-0.02,-0.12,1.13,8,-27.64,Foot Landing
20.22,-0.27,-0.02,-0.09,7.63,6.2,-14.83,Foot Landing
20.27,-0.24,0.04,-0.11,4.19,5.16,-10.28,Foot Landing
20.31,-0.23,0.03,-0.11,5.96,3.49,-6.38,Foot Landing
20.35,-0.24,0.03,-0.12,6.56,0.86,-5.74,Foot Landing
20.39,-0.23,0.03,-0.11,7.16,-1.68,-5.31,Foot Landing
20.43,-0.24,0.04,-0.12,5.26,-1.76,-6.53,Foot Landing
